Sentence	Origem	Classe
Como enfileirar elementos em uma fila ?	1	1
Como colocar elementos em uma fila ?	1	0
Como identificar elementos em uma fila ?	1	0
Como encontrar elementos em uma fila ?	1	0
Como adicionar elementos em uma fila ?	1	0
Como organizar elementos em uma fila ?	1	0
Como localizar elementos em uma fila ?	1	0
Como classificar elementos em uma fila ?	1	0
Como conseguir elementos em uma fila ?	1	0
Como achar elementos em uma fila ?	1	0
Como ver elementos em uma fila ?	1	0
Como juntar elementos em uma fila ?	1	0
Como separar elementos em uma fila ?	1	0
Como incluir elementos em uma fila ?	1	0
Como procurar elementos em uma fila ?	1	0
Como reconhecer elementos em uma fila ?	1	0
Como os elementos em uma fila ?	1	0
Como escolher elementos em uma fila ?	1	0
Como obter elementos em uma fila ?	1	0
Como reunir elementos em uma fila ?	1	0
Como entrar elementos em uma fila ?	1	0
Como desenfileirar elementos em uma fila ?	2	1
Como colocar elementos em uma fila ?	2	0
Como identificar elementos em uma fila ?	2	0
Como encontrar elementos em uma fila ?	2	0
Como adicionar elementos em uma fila ?	2	0
Como organizar elementos em uma fila ?	2	0
Como localizar elementos em uma fila ?	2	0
Como classificar elementos em uma fila ?	2	0
Como conseguir elementos em uma fila ?	2	0
Como achar elementos em uma fila ?	2	0
Como ver elementos em uma fila ?	2	0
Como juntar elementos em uma fila ?	2	0
Como separar elementos em uma fila ?	2	0
Como incluir elementos em uma fila ?	2	0
Como procurar elementos em uma fila ?	2	0
Como reconhecer elementos em uma fila ?	2	0
Como os elementos em uma fila ?	2	0
Como escolher elementos em uma fila ?	2	0
Como obter elementos em uma fila ?	2	0
Como reunir elementos em uma fila ?	2	0
Como entrar elementos em uma fila ?	2	0
Como empilhar elementos em uma pilha ?	3	1
Como colocar elementos em uma pilha ?	3	0
Como adicionar elementos em uma pilha ?	3	0
Como organizar elementos em uma pilha ?	3	0
Como identificar elementos em uma pilha ?	3	0
Como encontrar elementos em uma pilha ?	3	0
Como localizar elementos em uma pilha ?	3	0
Como ligar elementos em uma pilha ?	3	0
Como separar elementos em uma pilha ?	3	0
Como obter elementos em uma pilha ?	3	0
Como introduzir elementos em uma pilha ?	3	0
Como incluir elementos em uma pilha ?	3	0
Como juntar elementos em uma pilha ?	3	0
Como procurar elementos em uma pilha ?	3	0
Como reconhecer elementos em uma pilha ?	3	0
Como reunir elementos em uma pilha ?	3	0
Como achar elementos em uma pilha ?	3	0
Como descobrir elementos em uma pilha ?	3	0
Como transformar elementos em uma pilha ?	3	0
Como classificar elementos em uma pilha ?	3	0
Como escrever elementos em uma pilha ?	3	0
Como empilhar e desempilhar elementos em uma pilha ?	4	1
Como empilhar e organizar elementos em uma pilha ?	4	0
Como empilhar e colocar elementos em uma pilha ?	4	0
Como empilhar e distribuir elementos em uma pilha ?	4	0
Como empilhar e juntar elementos em uma pilha ?	4	0
Como empilhar e separar elementos em uma pilha ?	4	0
Como empilhar e reunir elementos em uma pilha ?	4	0
Como empilhar e dividir elementos em uma pilha ?	4	0
Como empilhar e transformar elementos em uma pilha ?	4	0
Como empilhar e carregar elementos em uma pilha ?	4	0
Como empilhar e transportar elementos em uma pilha ?	4	0
Como empilhar e concentrar elementos em uma pilha ?	4	0
Como empilhar e unir elementos em uma pilha ?	4	0
Como empilhar e colar elementos em uma pilha ?	4	0
Como empilhar e manter elementos em uma pilha ?	4	0
Como empilhar e adicionar elementos em uma pilha ?	4	0
Como empilhar e classificar elementos em uma pilha ?	4	0
Como empilhar e jogar elementos em uma pilha ?	4	0
Como empilhar e mover elementos em uma pilha ?	4	0
Como empilhar e ligar elementos em uma pilha ?	4	0
Como empilhar e acomodar elementos em uma pilha ?	4	0
Como empilhar elementos em uma estrutura de dados pilha ?	5	1
Como identificar elementos em uma estrutura de dados pilha ?	5	0
Como adicionar elementos em uma estrutura de dados pilha ?	5	0
Como obter elementos em uma estrutura de dados pilha ?	5	0
Como encontrar elementos em uma estrutura de dados pilha ?	5	0
Como definir elementos em uma estrutura de dados pilha ?	5	0
Como introduzir elementos em uma estrutura de dados pilha ?	5	0
Como localizar elementos em uma estrutura de dados pilha ?	5	0
Como reconhecer elementos em uma estrutura de dados pilha ?	5	0
Como incluir elementos em uma estrutura de dados pilha ?	5	0
Como organizar elementos em uma estrutura de dados pilha ?	5	0
Como criar elementos em uma estrutura de dados pilha ?	5	0
Como construir elementos em uma estrutura de dados pilha ?	5	0
Como colocar elementos em uma estrutura de dados pilha ?	5	0
Como representar elementos em uma estrutura de dados pilha ?	5	0
Como buscar elementos em uma estrutura de dados pilha ?	5	0
Como escrever elementos em uma estrutura de dados pilha ?	5	0
Como classificar elementos em uma estrutura de dados pilha ?	5	0
Como analisar elementos em uma estrutura de dados pilha ?	5	0
Como procurar elementos em uma estrutura de dados pilha ?	5	0
Como utilizar elementos em uma estrutura de dados pilha ?	5	0
Como empilhar e desempilhar elementos em uma estrutura de dados pilha ?	6	1
Como empilhar e organizar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e distribuir elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e separar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e mover elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e reunir elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e classificar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e juntar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e localizar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e representar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e unir elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e exibir elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e integrar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e compartilhar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e dividir elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e colocar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e colar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e controlar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e adicionar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e carregar elementos em uma estrutura de dados pilha ?	6	0
Como empilhar e tratar elementos em uma estrutura de dados pilha ?	6	0
Como desempilhar elementos em uma pilha ?	7	1
Como colocar elementos em uma pilha ?	7	0
Como adicionar elementos em uma pilha ?	7	0
Como organizar elementos em uma pilha ?	7	0
Como identificar elementos em uma pilha ?	7	0
Como encontrar elementos em uma pilha ?	7	0
Como localizar elementos em uma pilha ?	7	0
Como ligar elementos em uma pilha ?	7	0
Como separar elementos em uma pilha ?	7	0
Como obter elementos em uma pilha ?	7	0
Como introduzir elementos em uma pilha ?	7	0
Como incluir elementos em uma pilha ?	7	0
Como juntar elementos em uma pilha ?	7	0
Como procurar elementos em uma pilha ?	7	0
Como reconhecer elementos em uma pilha ?	7	0
Como reunir elementos em uma pilha ?	7	0
Como achar elementos em uma pilha ?	7	0
Como descobrir elementos em uma pilha ?	7	0
Como transformar elementos em uma pilha ?	7	0
Como classificar elementos em uma pilha ?	7	0
Como escrever elementos em uma pilha ?	7	0
Como desempilhar elementos em uma estrutura de dados pilha ?	8	1
Como desempilhar elementos em uma base de dados pilha ?	8	0
Como desempilhar elementos em uma estrutura de dados pilha ?	8	0
Como desempilhar elementos em uma árvore de dados pilha ?	8	0
Como desempilhar elementos em uma matriz de dados pilha ?	8	0
Como desempilhar elementos em uma coleção de dados pilha ?	8	0
Como desempilhar elementos em uma biblioteca de dados pilha ?	8	0
Como desempilhar elementos em uma entrada de dados pilha ?	8	0
Como desempilhar elementos em uma fonte de dados pilha ?	8	0
Como desempilhar elementos em uma tabela de dados pilha ?	8	0
Como desempilhar elementos em uma malha de dados pilha ?	8	0
Como desempilhar elementos em uma mineração de dados pilha ?	8	0
Como desempilhar elementos em uma folha de dados pilha ?	8	0
Como desempilhar elementos em uma camada de dados pilha ?	8	0
Como desempilhar elementos em uma arquitetura de dados pilha ?	8	0
Como desempilhar elementos em uma memória de dados pilha ?	8	0
Como desempilhar elementos em uma representação de dados pilha ?	8	0
Como desempilhar elementos em uma banco de dados pilha ?	8	0
Como desempilhar elementos em uma pilha de dados pilha ?	8	0
Como desempilhar elementos em uma análise de dados pilha ?	8	0
Como desempilhar elementos em uma área de dados pilha ?	8	0
O que é uma pilha e como empilhar seu elemento ?	9	1
O que é uma pilha e como identificar seu elemento ?	9	0
O que é uma pilha e como funciona seu elemento ?	9	0
O que é uma pilha e como localizar seu elemento ?	9	0
O que é uma pilha e como é seu elemento ?	9	0
O que é uma pilha e como encontrar seu elemento ?	9	0
O que é uma pilha e como classificar seu elemento ?	9	0
O que é uma pilha e como calcular seu elemento ?	9	0
O que é uma pilha e como medir seu elemento ?	9	0
O que é uma pilha e como utilizar seu elemento ?	9	0
O que é uma pilha e como usar seu elemento ?	9	0
O que é uma pilha e como reconhecer seu elemento ?	9	0
O que é uma pilha e como descobrir seu elemento ?	9	0
O que é uma pilha e como substituir seu elemento ?	9	0
O que é uma pilha e como escolher seu elemento ?	9	0
O que é uma pilha e como formar seu elemento ?	9	0
O que é uma pilha e como obter seu elemento ?	9	0
O que é uma pilha e como representar seu elemento ?	9	0
O que é uma pilha e como determinar seu elemento ?	9	0
O que é uma pilha e como organizar seu elemento ?	9	0
O que é uma pilha e como achar seu elemento ?	9	0
O que é uma fila e como enfileirar seu elemento ?	10	1
O que é uma fila e como identificar seu elemento ?	10	0
O que é uma fila e como é seu elemento ?	10	0
O que é uma fila e como definir seu elemento ?	10	0
O que é uma fila e como localizar seu elemento ?	10	0
O que é uma fila e como organizar seu elemento ?	10	0
O que é uma fila e como classificar seu elemento ?	10	0
O que é uma fila e como formar seu elemento ?	10	0
O que é uma fila e como reconhecer seu elemento ?	10	0
O que é uma fila e como funciona seu elemento ?	10	0
O que é uma fila e como representar seu elemento ?	10	0
O que é uma fila e como determinar seu elemento ?	10	0
O que é uma fila e como distinguir seu elemento ?	10	0
O que é uma fila e como encontrar seu elemento ?	10	0
O que é uma fila e como calcular seu elemento ?	10	0
O que é uma fila e como escolher seu elemento ?	10	0
O que é uma fila e como surge seu elemento ?	10	0
O que é uma fila e como surgiu seu elemento ?	10	0
O que é uma fila e como seria seu elemento ?	10	0
O que é uma fila e como ocorre seu elemento ?	10	0
O que é uma fila e como dividir seu elemento ?	10	0
O que é uma fila e como desenfileirar um elemento nela ?	11	1
O que é uma fila e como desenfileirar um carro nela ?	11	0
O que é uma fila e como desenfileirar um veículo nela ?	11	0
O que é uma fila e como desenfileirar um cliente nela ?	11	0
O que é uma fila e como desenfileirar um animal nela ?	11	0
O que é uma fila e como desenfileirar um produto nela ?	11	0
O que é uma fila e como desenfileirar um caminhão nela ?	11	0
O que é uma fila e como desenfileirar um automóvel nela ?	11	0
O que é uma fila e como desenfileirar um cão nela ?	11	0
O que é uma fila e como desenfileirar um cartão nela ?	11	0
O que é uma fila e como desenfileirar um item nela ?	11	0
O que é uma fila e como desenfileirar um ônibus nela ?	11	0
O que é uma fila e como desenfileirar um cachorro nela ?	11	0
O que é uma fila e como desenfileirar um objeto nela ?	11	0
O que é uma fila e como desenfileirar um livro nela ?	11	0
O que é uma fila e como desenfileirar um ingresso nela ?	11	0
O que é uma fila e como desenfileirar um paciente nela ?	11	0
O que é uma fila e como desenfileirar um bebê nela ?	11	0
O que é uma fila e como desenfileirar um cavalo nela ?	11	0
O que é uma fila e como desenfileirar um visitante nela ?	11	0
O que é uma fila e como desenfileirar um indivíduo nela ?	11	0
O que é uma pilha e como desempilhar um elemento nela ?	12	1
O que é uma pilha e como colocar um elemento nela ?	12	0
O que é uma pilha e como adicionar um elemento nela ?	12	0
O que é uma pilha e como ligar um elemento nela ?	12	0
O que é uma pilha e como introduzir um elemento nela ?	12	0
O que é uma pilha e como escrever um elemento nela ?	12	0
O que é uma pilha e como incluir um elemento nela ?	12	0
O que é uma pilha e como localizar um elemento nela ?	12	0
O que é uma pilha e como organizar um elemento nela ?	12	0
O que é uma pilha e como por um elemento nela ?	12	0
O que é uma pilha e como cabe um elemento nela ?	12	0
O que é uma pilha e como prender um elemento nela ?	12	0
O que é uma pilha e como fica um elemento nela ?	12	0
O que é uma pilha e como carregar um elemento nela ?	12	0
O que é uma pilha e como transformar um elemento nela ?	12	0
O que é uma pilha e como substituir um elemento nela ?	12	0
O que é uma pilha e como encontrar um elemento nela ?	12	0
O que é uma pilha e como fixar um elemento nela ?	12	0
O que é uma pilha e como usar um elemento nela ?	12	0
O que é uma pilha e como pôr um elemento nela ?	12	0
O que é uma pilha e como identificar um elemento nela ?	12	0
O que é uma fila e como enfileirar um elemento nela ?	13	1
O que é uma fila e como colocar um elemento nela ?	13	0
O que é uma fila e como adicionar um elemento nela ?	13	0
O que é uma fila e como identificar um elemento nela ?	13	0
O que é uma fila e como incluir um elemento nela ?	13	0
O que é uma fila e como organizar um elemento nela ?	13	0
O que é uma fila e como localizar um elemento nela ?	13	0
O que é uma fila e como classificar um elemento nela ?	13	0
O que é uma fila e como introduzir um elemento nela ?	13	0
O que é uma fila e como desenhar um elemento nela ?	13	0
O que é uma fila e como representar um elemento nela ?	13	0
O que é uma fila e como definir um elemento nela ?	13	0
O que é uma fila e como cada um elemento nela ?	13	0
O que é uma fila e como escrever um elemento nela ?	13	0
O que é uma fila e como encontrar um elemento nela ?	13	0
O que é uma fila e como há um elemento nela ?	13	0
O que é uma fila e como mover um elemento nela ?	13	0
O que é uma fila e como é um elemento nela ?	13	0
O que é uma fila e como substituir um elemento nela ?	13	0
O que é uma fila e como por um elemento nela ?	13	0
O que é uma fila e como fica um elemento nela ?	13	0
O que é uma pilha e como empilhar um elemento nela ?	14	1
O que é uma pilha e como colocar um elemento nela ?	14	0
O que é uma pilha e como adicionar um elemento nela ?	14	0
O que é uma pilha e como ligar um elemento nela ?	14	0
O que é uma pilha e como introduzir um elemento nela ?	14	0
O que é uma pilha e como escrever um elemento nela ?	14	0
O que é uma pilha e como incluir um elemento nela ?	14	0
O que é uma pilha e como localizar um elemento nela ?	14	0
O que é uma pilha e como organizar um elemento nela ?	14	0
O que é uma pilha e como por um elemento nela ?	14	0
O que é uma pilha e como cabe um elemento nela ?	14	0
O que é uma pilha e como prender um elemento nela ?	14	0
O que é uma pilha e como fica um elemento nela ?	14	0
O que é uma pilha e como carregar um elemento nela ?	14	0
O que é uma pilha e como transformar um elemento nela ?	14	0
O que é uma pilha e como substituir um elemento nela ?	14	0
O que é uma pilha e como encontrar um elemento nela ?	14	0
O que é uma pilha e como fixar um elemento nela ?	14	0
O que é uma pilha e como usar um elemento nela ?	14	0
O que é uma pilha e como pôr um elemento nela ?	14	0
O que é uma pilha e como identificar um elemento nela ?	14	0
O que é uma pilha e como empilhar e desempilhar seus elementos ?	15	1
O que é uma pilha e como separar e desempilhar seus elementos ?	15	0
O que é uma pilha e como organizar e desempilhar seus elementos ?	15	0
O que é uma pilha e como juntar e desempilhar seus elementos ?	15	0
O que é uma pilha e como carregar e desempilhar seus elementos ?	15	0
O que é uma pilha e como preparar e desempilhar seus elementos ?	15	0
O que é uma pilha e como montar e desempilhar seus elementos ?	15	0
O que é uma pilha e como recolher e desempilhar seus elementos ?	15	0
O que é uma pilha e como reunir e desempilhar seus elementos ?	15	0
O que é uma pilha e como retirar e desempilhar seus elementos ?	15	0
O que é uma pilha e como cortar e desempilhar seus elementos ?	15	0
O que é uma pilha e como abrir e desempilhar seus elementos ?	15	0
O que é uma pilha e como prender e desempilhar seus elementos ?	15	0
O que é uma pilha e como colocar e desempilhar seus elementos ?	15	0
O que é uma pilha e como introduzir e desempilhar seus elementos ?	15	0
O que é uma pilha e como lançar e desempilhar seus elementos ?	15	0
O que é uma pilha e como pegar e desempilhar seus elementos ?	15	0
O que é uma pilha e como transportar e desempilhar seus elementos ?	15	0
O que é uma pilha e como acomodar e desempilhar seus elementos ?	15	0
O que é uma pilha e como ligar e desempilhar seus elementos ?	15	0
O que é uma pilha e como localizar e desempilhar seus elementos ?	15	0
O que é uma fila e como enfileirar e desenfileirar seus elementos ?	16	1
O que é uma fila e como organizar e desenfileirar seus elementos ?	16	0
O que é uma fila e como separar e desenfileirar seus elementos ?	16	0
O que é uma fila e como juntar e desenfileirar seus elementos ?	16	0
O que é uma fila e como reunir e desenfileirar seus elementos ?	16	0
O que é uma fila e como localizar e desenfileirar seus elementos ?	16	0
O que é uma fila e como identificar e desenfileirar seus elementos ?	16	0
O que é uma fila e como retirar e desenfileirar seus elementos ?	16	0
O que é uma fila e como montar e desenfileirar seus elementos ?	16	0
O que é uma fila e como classificar e desenfileirar seus elementos ?	16	0
O que é uma fila e como formar e desenfileirar seus elementos ?	16	0
O que é uma fila e como unir e desenfileirar seus elementos ?	16	0
O que é uma fila e como integrar e desenfileirar seus elementos ?	16	0
O que é uma fila e como cortar e desenfileirar seus elementos ?	16	0
O que é uma fila e como prender e desenfileirar seus elementos ?	16	0
O que é uma fila e como preparar e desenfileirar seus elementos ?	16	0
O que é uma fila e como acomodar e desenfileirar seus elementos ?	16	0
O que é uma fila e como colocar e desenfileirar seus elementos ?	16	0
O que é uma fila e como incorporar e desenfileirar seus elementos ?	16	0
O que é uma fila e como construir e desenfileirar seus elementos ?	16	0
O que é uma fila e como remover e desenfileirar seus elementos ?	16	0
Como são implementadas as operações de empilhar e desempilhar elementos em uma pilha ?	17	1
Como são implementadas as operações de empilhar e organizar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e juntar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e distribuir elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e colocar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e separar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e carregar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e colar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e reunir elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e mover elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e transportar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e lançar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e dividir elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e adicionar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e cortar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e recolher elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e unir elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e concentrar elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e remover elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e prender elementos em uma pilha ?	17	0
Como são implementadas as operações de empilhar e montar elementos em uma pilha ?	17	0
Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?	18	1
Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de colocar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de reunir e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de classificar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de cortar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de envolver e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de colar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de identificar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de prender e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de remover e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de incorporar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de unir e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de localizar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de acomodar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de carregar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de montar e desenfileirar elementos em uma fila ?	18	0
Como são implementadas as operações de transferir e desenfileirar elementos em uma fila ?	18	0
Em uma pilha a operação de empilhar ocorre em qual extremidade ?	19	1
Em uma pilha a operação de carga ocorre em qual extremidade ?	19	0
Em uma pilha a operação de alimentação ocorre em qual extremidade ?	19	0
Em uma pilha a operação de saída ocorre em qual extremidade ?	19	0
Em uma pilha a operação de montagem ocorre em qual extremidade ?	19	0
Em uma pilha a operação de leitura ocorre em qual extremidade ?	19	0
Em uma pilha a operação de ligação ocorre em qual extremidade ?	19	0
Em uma pilha a operação de rotação ocorre em qual extremidade ?	19	0
Em uma pilha a operação de expansão ocorre em qual extremidade ?	19	0
Em uma pilha a operação de entrada ocorre em qual extremidade ?	19	0
Em uma pilha a operação de escrita ocorre em qual extremidade ?	19	0
Em uma pilha a operação de partida ocorre em qual extremidade ?	19	0
Em uma pilha a operação de tensão ocorre em qual extremidade ?	19	0
Em uma pilha a operação de pilha ocorre em qual extremidade ?	19	0
Em uma pilha a operação de equilíbrio ocorre em qual extremidade ?	19	0
Em uma pilha a operação de carregar ocorre em qual extremidade ?	19	0
Em uma pilha a operação de condução ocorre em qual extremidade ?	19	0
Em uma pilha a operação de aquecimento ocorre em qual extremidade ?	19	0
Em uma pilha a operação de armazenamento ocorre em qual extremidade ?	19	0
Em uma pilha a operação de operação ocorre em qual extremidade ?	19	0
Em uma pilha a operação de potência ocorre em qual extremidade ?	19	0
Em uma fila a operação de enfileirar ocorre em qual extremidade ?	20	1
Em uma fila a operação de entrada ocorre em qual extremidade ?	20	0
Em uma fila a operação de saída ocorre em qual extremidade ?	20	0
Em uma fila a operação de fechamento ocorre em qual extremidade ?	20	0
Em uma fila a operação de rotação ocorre em qual extremidade ?	20	0
Em uma fila a operação de separação ocorre em qual extremidade ?	20	0
Em uma fila a operação de montagem ocorre em qual extremidade ?	20	0
Em uma fila a operação de passagem ocorre em qual extremidade ?	20	0
Em uma fila a operação de seleção ocorre em qual extremidade ?	20	0
Em uma fila a operação de parada ocorre em qual extremidade ?	20	0
Em uma fila a operação de movimentação ocorre em qual extremidade ?	20	0
Em uma fila a operação de abertura ocorre em qual extremidade ?	20	0
Em uma fila a operação de ligação ocorre em qual extremidade ?	20	0
Em uma fila a operação de corte ocorre em qual extremidade ?	20	0
Em uma fila a operação de adição ocorre em qual extremidade ?	20	0
Em uma fila a operação de aproximação ocorre em qual extremidade ?	20	0
Em uma fila a operação de espera ocorre em qual extremidade ?	20	0
Em uma fila a operação de troca ocorre em qual extremidade ?	20	0
Em uma fila a operação de chegada ocorre em qual extremidade ?	20	0
Em uma fila a operação de conexão ocorre em qual extremidade ?	20	0
Em uma fila a operação de partida ocorre em qual extremidade ?	20	0
